Assumed Start Date,Rainfall in mm,Rainfall in m,Julian Day,
1941-12-14,0,0,348,
1941-12-15,0,0,349,
1941-12-16,0,0,350,
1941-12-17,0,0,351,
1941-12-18,0,0,352,
1941-12-19,0,0,353,
1941-12-20,0,0,354,
1941-12-21,0,0,355,
1941-12-22,0,0,356,
1941-12-23,0,0,357,
1941-12-24,0,0,358,
1941-12-25,0,0,359,
1941-12-26,0,0,360,
1941-12-27,0,0,361,
1941-12-28,0,0,362,
1941-12-29,0,0,363,
1941-12-30,0,0,364,
1941-12-31,0,0,365,
1942-01-01,0,0,366,
1942-01-02,11.7,0.0117,367,
1942-01-03,6.4,0.0064,368,
1942-01-04,0,0,369,
1942-01-05,0,0,370,
1942-01-06,4.3,0.0043,371,
1942-01-07,54.1,0.0541,372,
1942-01-08,0,0,373,
1942-01-09,0,0,374,
1942-01-10,0,0,375,
1942-01-11,0,0,376,
1942-01-12,0,0,377,
1942-01-13,0,0,378,
1942-01-14,0,0,379,
1942-01-15,0,0,380,
1942-01-16,0,0,381,
1942-01-17,0,0,382,
1942-01-18,0,0,383,
1942-01-19,0,0,384,
1942-01-20,0,0,385,
1942-01-21,0,0,386,
1942-01-22,0,0,387,
1942-01-23,0,0,388,
1942-01-24,0,0,389,
1942-01-25,0,0,390,
1942-01-26,0,0,391,
1942-01-27,0,0,392,
1942-01-28,0,0,393,
1942-01-29,0,0,394,
1942-01-30,0,0,395,
1942-01-31,0,0,396,
1942-02-01,0,0,397,
1942-02-02,0,0,398,
1942-02-03,0,0,399,
1942-02-04,0,0,400,
1942-02-05,0,0,401,
1942-02-06,0,0,402,
1942-02-07,0,0,403,
1942-02-08,0,0,404,
1942-02-09,0,0,405,
1942-02-10,0,0,406,
1942-02-11,0,0,407,
1942-02-12,0,0,408,
1942-02-13,0,0,409,
1942-02-14,0.8,0.0008,410,
1942-02-15,0,0,411,
1942-02-16,0,0,412,
1942-02-17,0,0,413,
1942-02-18,0,0,414,
1942-02-19,0,0,415,
1942-02-20,0,0,416,
1942-02-21,0,0,417,
1942-02-22,0,0,418,
1942-02-23,0,0,419,
1942-02-24,0,0,420,
1942-02-25,0,0,421,
1942-02-26,0,0,422,
1942-02-27,0,0,423,
1942-02-28,0,0,424,
1942-03-01,0,0,425,
1942-03-02,0,0,426,
1942-03-03,0,0,427,
1942-03-04,0,0,428,
1942-03-05,0,0,429,
1942-03-06,0,0,430,
1942-03-07,0,0,431,
1942-03-08,0,0,432,
1942-03-09,0,0,433,
1942-03-10,0,0,434,
1942-03-11,0,0,435,
1942-03-12,0,0,436,
1942-03-13,0,0,437,
1942-03-14,0,0,438,
1942-03-15,0,0,439,
1942-03-16,0,0,440,
1942-03-17,0,0,441,
1942-03-18,0,0,442,
1942-03-19,0,0,443,
1942-03-20,0,0,444,
1942-03-21,0,0,445,
1942-03-22,0,0,446,
1942-03-23,0,0,447,
1942-03-24,0,0,448,
1942-03-25,0,0,449,
1942-03-26,0,0,450,
1942-03-27,23.1,0.0231,451,
1942-03-28,0,0,452,
1942-03-29,0,0,453,
1942-03-30,0,0,454,
1942-03-31,0,0,455,
1942-04-01,0,0,456,
1942-04-02,0,0,457,
1942-04-03,2,0.002,458,
1942-04-04,0,0,459,
1942-04-05,0,0,460,
1942-04-06,0,0,461,
1942-04-07,0,0,462,
1942-04-08,0,0,463,
1942-04-09,0,0,464,
1942-04-10,0,0,465,
1942-04-11,0,0,466,
1942-04-12,0,0,467,
1942-04-13,0,0,468,
1942-04-14,0,0,469,
1942-04-15,0,0,470,
1942-04-16,0,0,471,
1942-04-17,0,0,472,
1942-04-18,0,0,473,
1942-04-19,0,0,474,
1942-04-20,0,0,475,
1942-04-21,0,0,476,
1942-04-22,22.9,0.0229,477,
1942-04-23,0,0,478,
1942-04-24,0,0,479,
1942-04-25,0,0,480,
1942-04-26,0,0,481,
1942-04-27,0,0,482,
1942-04-28,0,0,483,
1942-04-29,0,0,484,
1942-04-30,0,0,485,
1942-05-01,0,0,486,
1942-05-02,0,0,487,
1942-05-03,0,0,488,
1942-05-04,0,0,489,
1942-05-05,0,0,490,
1942-05-06,0,0,491,
1942-05-07,11.4,0.0114,492,
1942-05-08,0,0,493,
1942-05-09,0,0,494,
1942-05-10,0,0,495,
1942-05-11,0,0,496,
1942-05-12,0,0,497,
1942-05-13,0,0,498,
1942-05-14,14.5,0.0145,499,
1942-05-15,0,0,500,
1942-05-16,0,0,501,
1942-05-17,0,0,502,
1942-05-18,9.7,0.0097,503,
1942-05-19,0,0,504,
1942-05-20,0,0,505,
1942-05-21,0,0,506,
1942-05-22,0,0,507,
1942-05-23,0,0,508,
1942-05-24,0,0,509,
1942-05-25,0,0,510,
1942-05-26,0,0,511,
1942-05-27,0,0,512,
1942-05-28,37.6,0.0376,513,
1942-05-29,0,0,514,
1942-05-30,0,0,515,
1942-05-31,0,0,516,
1942-06-01,0,0,517,
1942-06-02,0,0,518,
1942-06-03,52.6,0.0526,519,
1942-06-04,0,0,520,
1942-06-05,0,0,521,
1942-06-06,0,0,522,
1942-06-07,0,0,523,
1942-06-08,0,0,524,
1942-06-09,0,0,525,
1942-06-10,0,0,526,
1942-06-11,0,0,527,
1942-06-12,0,0,528,
1942-06-13,0,0,529,
1942-06-14,0,0,530,
1942-06-15,0,0,531,
1942-06-16,0,0,532,
1942-06-17,0,0,533,
1942-06-18,0,0,534,
1942-06-19,11.7,0.0117,535,
1942-06-20,0,0,536,
1942-06-21,0,0,537,
1942-06-22,0,0,538,
1942-06-23,14,0.014,539,
1942-06-24,0,0,540,
1942-06-25,0,0,541,
1942-06-26,10.9,0.0109,542,
1942-06-27,0,0,543,
1942-06-28,0,0,544,
1942-06-29,0,0,545,
1942-06-30,0,0,546,
1942-07-01,0,0,547,
1942-07-02,0,0,548,
1942-07-03,0,0,549,
1942-07-04,0,0,550,
1942-07-05,0,0,551,
1942-07-06,0,0,552,
1942-07-07,0,0,553,
1942-07-08,0,0,554,
1942-07-09,0,0,555,
1942-07-10,0,0,556,
1942-07-11,0,0,557,
1942-07-12,0,0,558,
1942-07-13,0,0,559,
1942-07-14,0,0,560,
1942-07-15,0,0,561,
1942-07-16,0,0,562,
1942-07-17,0,0,563,
1942-07-18,0,0,564,
1942-07-19,8.400001,0.008400001,565,
1942-07-20,0,0,566,
1942-07-21,0,0,567,
1942-07-22,0,0,568,
1942-07-23,0,0,569,
1942-07-24,0,0,570,
1942-07-25,0,0,571,
1942-07-26,0,0,572,
1942-07-27,0,0,573,
1942-07-28,0,0,574,
1942-07-29,0,0,575,
1942-07-30,0,0,576,
1942-07-31,0,0,577,
1942-08-01,0,0,578,
1942-08-02,0,0,579,
1942-08-03,0,0,580,
1942-08-04,0,0,581,
1942-08-05,10.4,0.0104,582,
1942-08-06,0,0,583,
1942-08-07,4.1,0.0041,584,
1942-08-08,0,0,585,
1942-08-09,2.8,0.0028,586,
1942-08-10,0,0,587,
1942-08-11,1,0.001,588,
1942-08-12,0,0,589,
1942-08-13,0,0,590,
1942-08-14,0,0,591,
1942-08-15,0,0,592,
1942-08-16,0,0,593,
1942-08-17,0,0,594,
1942-08-18,0,0,595,
1942-08-19,0,0,596,
1942-08-20,0,0,597,
1942-08-21,0,0,598,
1942-08-22,40.6,0.0406,599,
1942-08-23,1.5,0.0015,600,
1942-08-24,0,0,601,
1942-08-25,0,0,602,
1942-08-26,0,0,603,
1942-08-27,0,0,604,
1942-08-28,0,0,605,
1942-08-29,0,0,606,
1942-08-30,0,0,607,
1942-08-31,0,0,608,
1942-09-01,0,0,609,
1942-09-02,0,0,610,
1942-09-03,0,0,611,
1942-09-04,0,0,612,
1942-09-05,0,0,613,
1942-09-06,0,0,614,
1942-09-07,0,0,615,
1942-09-08,0,0,616,
1942-09-09,0,0,617,
1942-09-10,0,0,618,
1942-09-11,0,0,619,
1942-09-12,0,0,620,
1942-09-13,0,0,621,
1942-09-14,0,0,622,
1942-09-15,0,0,623,
1942-09-16,6.9,0.0069,624,
1942-09-17,0,0,625,
1942-09-18,0,0,626,
1942-09-19,20.6,0.0206,627,
1942-09-20,2.8,0.0028,628,
1942-09-21,0,0,629,
1942-09-22,0,0,630,
1942-09-23,0,0,631,
1942-09-24,0,0,632,
1942-09-25,9.1,0.0091,633,
1942-09-26,0,0,634,
1942-09-27,0,0,635,
1942-09-28,0,0,636,
1942-09-29,0,0,637,
1942-09-30,0,0,638,
1942-10-01,0,0,639,
1942-10-02,0,0,640,
1942-10-03,0,0,641,
1942-10-04,0,0,642,
1942-10-05,1.3,0.0013,643,
1942-10-06,16,0.016,644,
1942-10-07,2.3,0.0023,645,
1942-10-08,1,0.001,646,
1942-10-09,3.3,0.0033,647,
1942-10-10,53.8,0.0538,648,
1942-10-11,0,0,649,
1942-10-12,6.1,0.0061,650,
1942-10-13,20.8,0.0208,651,
1942-10-14,12.2,0.0122,652,
1942-10-15,0,0,653,
1942-10-16,6.6,0.0066,654,
1942-10-17,7.4,0.0074,655,
1942-10-18,1.3,0.0013,656,
1942-10-19,0,0,657,
1942-10-20,0,0,658,
1942-10-21,1.3,0.0013,659,
1942-10-22,8.400001,0.008400001,660,
1942-10-23,17.8,0.0178,661,
1942-10-24,2,0.002,662,
1942-10-25,52.1,0.0521,663,
1942-10-26,1.5,0.0015,664,
1942-10-27,3.6,0.0036,665,
1942-10-28,0,0,666,
1942-10-29,0,0,667,
1942-10-30,0,0,668,
1942-10-31,53.3,0.0533,669,
1942-11-01,9.400001,0.009400001,670,
1942-11-02,0,0,671,
1942-11-03,0,0,672,
1942-11-04,0,0,673,
1942-11-05,0,0,674,
1942-11-06,10.4,0.0104,675,
1942-11-07,5.1,0.0051,676,
1942-11-08,0,0,677,
1942-11-09,0,0,678,
1942-11-10,0,0,679,
1942-11-11,0,0,680,
1942-11-12,0,0,681,
1942-11-13,0,0,682,
1942-11-14,15,0.015,683,
1942-11-15,0,0,684,
1942-11-16,0,0,685,
1942-11-17,0,0,686,
1942-11-18,45.7,0.0457,687,
1942-11-19,0,0,688,
1942-11-20,7.9,0.0079,689,
1942-11-21,6.1,0.0061,690,
1942-11-22,0,0,691,
1942-11-23,0,0,692,
1942-11-24,0,0,693,
1942-11-25,0,0,694,
1942-11-26,0,0,695,
1942-11-27,2.5,0.0025,696,
1942-11-28,0,0,697,
1942-11-29,0,0,698,
1942-11-30,0,0,699,
1942-12-01,5.1,0.0051,700,
1942-12-02,6.4,0.0064,701,
1942-12-03,18.3,0.0183,702,
1942-12-04,0,0,703,
1942-12-05,41.7,0.0417,704,
1942-12-06,0,0,705,
1942-12-07,0,0,706,
1942-12-08,0,0,707,
1942-12-09,0,0,708,
1942-12-10,0,0,709,
1942-12-11,0,0,710,
1942-12-12,0,0,711,
1942-12-13,0,0,712,
1942-12-14,0,0,713,
1942-12-15,0,0,714,
1942-12-16,6.4,0.0064,715,
1942-12-17,3.6,0.0036,716,
1942-12-18,0,0,717,
1942-12-19,0,0,718,
1942-12-20,0,0,719,
1942-12-21,0,0,720,
1942-12-22,0,0,721,
1942-12-23,0,0,722,
1942-12-24,0,0,723,
1942-12-25,0,0,724,
1942-12-26,0,0,725,
1942-12-27,0,0,726,
1942-12-28,0,0,727,
1942-12-29,0,0,728,
1942-12-30,0,0,729,
1942-12-31,0,0,730,
1943-01-01,0,0,731,
1943-01-02,0,0,732,
1943-01-03,0,0,733,
1943-01-04,6.6,0.0066,734,
1943-01-05,17.8,0.0178,735,
1943-01-06,0,0,736,
1943-01-07,0,0,737,
1943-01-08,0,0,738,
1943-01-09,0,0,739,
1943-01-10,0,0,740,
1943-01-11,0,0,741,
1943-01-12,0,0,742,
1943-01-13,0,0,743,
1943-01-14,0,0,744,
1943-01-15,0,0,745,
1943-01-16,0,0,746,
1943-01-17,0,0,747,
1943-01-18,0,0,748,
1943-01-19,0,0,749,
1943-01-20,0,0,750,
1943-01-21,0,0,751,
1943-01-22,0,0,752,
1943-01-23,0,0,753,
1943-01-24,0,0,754,
1943-01-25,0,0,755,
1943-01-26,0,0,756,
1943-01-27,0,0,757,
1943-01-28,0,0,758,
1943-01-29,0,0,759,
1943-01-30,0,0,760,
1943-01-31,0,0,761,
1943-02-01,0,0,762,
1943-02-02,0,0,763,
1943-02-03,0,0,764,
1943-02-04,0,0,765,
1943-02-05,0,0,766,
1943-02-06,0,0,767,
1943-02-07,0,0,768,
1943-02-08,0,0,769,
1943-02-09,0,0,770,
1943-02-10,0,0,771,
1943-02-11,0,0,772,
1943-02-12,0,0,773,
1943-02-13,0,0,774,
1943-02-14,9.1,0.0091,775,
1943-02-15,0,0,776,
1943-02-16,0,0,777,
1943-02-17,0,0,778,
1943-02-18,0,0,779,
1943-02-19,0,0,780,
1943-02-20,0,0,781,
1943-02-21,0,0,782,
1943-02-22,0,0,783,
1943-02-23,0,0,784,
1943-02-24,0,0,785,
1943-02-25,0,0,786,
1943-02-26,0,0,787,
1943-02-27,0,0,788,
1943-02-28,0,0,789,
1943-03-01,0,0,790,
1943-03-02,0,0,791,
1943-03-03,0,0,792,
1943-03-04,0,0,793,
1943-03-05,0,0,794,
1943-03-06,0,0,795,
1943-03-07,0,0,796,
1943-03-08,0,0,797,
1943-03-09,0,0,798,
1943-03-10,0,0,799,
1943-03-11,0,0,800,
1943-03-12,0,0,801,
1943-03-13,2.8,0.0028,802,
1943-03-14,0,0,803,
1943-03-15,0,0,804,
1943-03-16,0,0,805,
1943-03-17,0,0,806,
1943-03-18,0,0,807,
1943-03-19,0,0,808,
1943-03-20,0,0,809,
1943-03-21,0,0,810,
1943-03-22,0,0,811,
1943-03-23,0,0,812,
1943-03-24,0,0,813,
1943-03-25,0,0,814,
1943-03-26,0,0,815,
1943-03-27,0,0,816,
1943-03-28,0,0,817,
1943-03-29,0,0,818,
1943-03-30,0,0,819,
1943-03-31,0,0,820,
1943-04-01,0,0,821,
1943-04-02,0,0,822,
1943-04-03,8.6,0.0086,823,
1943-04-04,1.8,0.0018,824,
1943-04-05,0,0,825,
1943-04-06,11.9,0.0119,826,
1943-04-07,0,0,827,
1943-04-08,0,0,828,
1943-04-09,0,0,829,
1943-04-10,0,0,830,
1943-04-11,0,0,831,
1943-04-12,0,0,832,
1943-04-13,0,0,833,
1943-04-14,0,0,834,
1943-04-15,0,0,835,
1943-04-16,0,0,836,
1943-04-17,3.3,0.0033,837,
1943-04-18,3,0.003,838,
1943-04-19,0,0,839,
1943-04-20,0,0,840,
1943-04-21,0,0,841,
1943-04-22,0,0,842,
1943-04-23,0,0,843,
1943-04-24,0,0,844,
1943-04-25,0,0,845,
1943-04-26,0,0,846,
1943-04-27,0,0,847,
1943-04-28,0,0,848,
1943-04-29,0,0,849,
1943-04-30,0,0,850,
1943-05-01,0,0,851,
1943-05-02,0,0,852,
1943-05-03,0,0,853,
1943-05-04,0,0,854,
1943-05-05,0,0,855,
1943-05-06,0,0,856,
1943-05-07,6.4,0.0064,857,
1943-05-08,0,0,858,
1943-05-09,0,0,859,
1943-05-10,0,0,860,
1943-05-11,10.7,0.0107,861,
1943-05-12,3.8,0.0038,862,
1943-05-13,0,0,863,
1943-05-14,14.2,0.0142,864,
1943-05-15,0,0,865,
1943-05-16,0,0,866,
1943-05-17,14.7,0.0147,867,
1943-05-18,22.9,0.0229,868,
1943-05-19,1,0.001,869,
1943-05-20,0.3,0.0003,870,
1943-05-21,0,0,871,
1943-05-22,0,0,872,
1943-05-23,0,0,873,
1943-05-24,0,0,874,
1943-05-25,0,0,875,
1943-05-26,0,0,876,
1943-05-27,45.2,0.0452,877,
1943-05-28,0,0,878,
1943-05-29,0,0,879,
1943-05-30,0,0,880,
1943-05-31,26.2,0.0262,881,
1943-06-01,7.9,0.0079,882,
1943-06-02,0,0,883,
1943-06-03,0,0,884,
1943-06-04,0,0,885,
1943-06-05,0,0,886,
1943-06-06,0,0,887,
1943-06-07,0,0,888,
1943-06-08,0,0,889,
1943-06-09,0,0,890,
1943-06-10,0,0,891,
1943-06-11,23.4,0.0234,892,
1943-06-12,0,0,893,
1943-06-13,0,0,894,
1943-06-14,0,0,895,
1943-06-15,0,0,896,
1943-06-16,0,0,897,
1943-06-17,0,0,898,
1943-06-18,0,0,899,
1943-06-19,0,0,900,
1943-06-20,0,0,901,
1943-06-21,0,0,902,
1943-06-22,0,0,903,
1943-06-23,0,0,904,
1943-06-24,0,0,905,
1943-06-25,0,0,906,
1943-06-26,0,0,907,
1943-06-27,0,0,908,
1943-06-28,0,0,909,
1943-06-29,20.6,0.0206,910,
1943-06-30,0,0,911,
1943-07-01,0,0,912,
1943-07-02,0,0,913,
1943-07-03,0,0,914,
1943-07-04,0,0,915,
1943-07-05,1.8,0.0018,916,
1943-07-06,20.6,0.0206,917,
1943-07-07,2.5,0.0025,918,
1943-07-08,0,0,919,
1943-07-09,0,0,920,
1943-07-10,0,0,921,
1943-07-11,0,0,922,
1943-07-12,0,0,923,
1943-07-13,0,0,924,
1943-07-14,0,0,925,
1943-07-15,0,0,926,
1943-07-16,0,0,927,
1943-07-17,0,0,928,
1943-07-18,0,0,929,
1943-07-19,0,0,930,
1943-07-20,0,0,931,
1943-07-21,0,0,932,
1943-07-22,0,0,933,
1943-07-23,0,0,934,
1943-07-24,0,0,935,
1943-07-25,0,0,936,
1943-07-26,0,0,937,
1943-07-27,0,0,938,
1943-07-28,0,0,939,
1943-07-29,0,0,940,
1943-07-30,0,0,941,
1943-07-31,0,0,942,
1943-08-01,0,0,943,
1943-08-02,0,0,944,
1943-08-03,0,0,945,
1943-08-04,0,0,946,
1943-08-05,0,0,947,
1943-08-06,0,0,948,
1943-08-07,0,0,949,
1943-08-08,5.1,0.0051,950,
1943-08-09,42.7,0.0427,951,
1943-08-10,5.6,0.0056,952,
1943-08-11,0,0,953,
1943-08-12,43.9,0.0439,954,
1943-08-13,0,0,955,
1943-08-14,0,0,956,
1943-08-15,6.1,0.0061,957,
1943-08-16,0,0,958,
1943-08-17,0,0,959,
1943-08-18,0,0,960,
1943-08-19,0,0,961,
1943-08-20,0,0,962,
1943-08-21,0,0,963,
1943-08-22,0,0,964,
